                File; Lane;           Category;                  MW;                          RepeatNum;   homoORheter
 ../data/data9-1.csv;    2; unidentified bands;                  63;                            30.5625;          homo
 ../data/data9-1.csv;    4; unidentified bands;             573, 51;                       26.75, 23.25;         heter
 ../data/data9-1.csv;    5; unidentified bands;             767, 48;                     38.875, 21.125;         heter
 ../data/data9-1.csv;    6; unidentified bands;             634, 50;                   30.5625, 22.6875;         heter
 ../data/data9-1.csv;    7; unidentified bands;             794, 50;                   40.5625, 22.1875;         heter
 ../data/data9-1.csv;    8; unidentified bands;        850, 592, 39;          44.0625, 27.9375, 15.5625; contamination
 ../data/data9-1.csv;    9; unidentified bands;             657, 52;                        32, 23.8125;         heter
 ../data/data9-1.csv;   10; unidentified bands;             491, 36;                         21.625, 14;         heter
 ../data/data9-1.csv;   11; unidentified bands;                  53;                             24.375;          homo
 ../data/data9-1.csv;   12; unidentified bands;             645, 42;                       31.25, 17.75;         heter
 ../data/data9-2.csv;    1;             marker;                <NA>;                               <NA>;          <NA>
 ../data/data9-2.csv;    2; unidentified bands;                  48;                              21.25;          homo
 ../data/data9-2.csv;    3; unidentified bands;                  63;                               30.5;          homo
 ../data/data9-2.csv;    4; unidentified bands;             633, 49;                      30.5, 21.8125;         heter
 ../data/data9-2.csv;    5; unidentified bands;             564, 45;                   26.1875, 19.0625;         heter
 ../data/data9-2.csv;    7; unidentified bands;             513, 41;                        23, 16.5625;         heter
 ../data/data9-2.csv;    8; unidentified bands;                  42;                               17.5;          homo
 ../data/data9-2.csv;    9; unidentified bands;             513, 43;                             23, 18;         heter
 ../data/data9-2.csv;   10; unidentified bands;                  67;                            32.8125;          homo
 ../data/data9-2.csv;   11; unidentified bands;                  64;                              31.25;          homo
